3 Months,6 Months,9 Months,12 Months,15 Months,18 Months,21 Months,24 Months,27 Months,30 Months,33 Months,36 Months,39 Months,42 Months,45 Months,48 Months,51 Months,54 Months,57 Months,60 Months,63 Months,66 Months,69 Months,72 Months,75 Months,78 Months,81 Months,84 Months
here.,that's a car.,okay.,that's a cat.,I think it's the same one.,it's a car.,yeah.,oh what a car.,you gotta take it off.,what do you do with the beans.,oh look what the cat's up to.,right here.,what's the cat doing.,the milk that is going on the milk that is going on the cheese that is going on the milk that is going on the cheese that is going on the cheese.,we'll eat something that's really good.,a piece of pie.,you're very right.,and it's a red bird.,no that's not a toy that's a car.,this is a squirrel.,you know.,oh that's your car.,oh you don't have to say that.,I'm driving the car.,oh they were just gone.,can you say cat.,yeah.,right.
you're going to be playing with the doll.,there's a car.,and the pears are really really really good.,come on.,this is a big toy.,we're going to the car.,yes.,see the car.,I think I see a big yellow car there.,yeah.,oh she is a big cat.,you can have a little nap.,so you gotta wait till it's gone.,how about if we get you a cupcake.,I have a bag of cookies.,you can have some.,here's the cat.,what bird did you say it was.,you're a good boy.,can you draw a cow.,you know a lot about dogs.,I'll see what it's like in the car.,you think you're going to be a mommy or a daddy.,that car is so big.,yes.,what's that.,you're in the car.,that's a nice little bird.
here's the red one.,he's in the back of the truck.,yummy.,there's a kitty.,here's the truck.,car.,hey.,let's go for a drive.,what's that.,yeah.,and it's a cat.,you can't take it outside.,oh the cat.,well you know what.,can you say spaghetti.,I'm going to make some cheese quesadillas.,you wanna pet it.,and then they fly away and we can't see them.,what do you see.,okay.,oh look at the dog.,and you can see that it's a car.,did you see that.,oh look at this.,that's a really good question.,yeah.,okay.,it's really cute.
wow.,where's the car.,and you eat it.,oh.,go on the car.,look at the car.,look at this.,I can see the car.,can we try the train.,I'm going to put them in the oven.,yeah.,and you're gonna play with the doll.,what's she doing.,okay.,you're gonna eat it.,there's a big ole taco.,that's a cute cat.,it's a woodpecker.,you're gonna play with the cars.,that's a really cute bird.,and he's running.,that's a pretty blue car.,you're not gonna be a baby anymore.,that's a truck.,yeah.,that's a cat.,and what are they called?,I think the boy in the cowboy hat is the cowboy.
and the little yellow ducky.,car.,can you take the tray out.,a big cat.,where are your cars.,wanna see the car go by.,where's the lion's head.,they're pretty cool cars.,what are these.,here's your food.,we're going to get her outta here.,what do you wanna have for breakfast.,wow.,yummy.,yep.,what's in the pumpkin pie.,here's some cat food for the kitty.,"a. The bird is in the tree.
b. The bird is in the nest.
c. The bird is in the bushes.
d. The bird is in the sky.

To answer the question, I picked ""a."" The bird is in the tree.",okay I'll put them in the bin.,it's a puppy.,that's right.,it's a car.,oh yeah.,okay let's take it out.,okay what do you want.,hey there.,that's a truck.,it's a duck.
ball.,I'm taking the car out.,here's some food for you.,look at the cat.,ball.,car.,that's right.,car.,and this one's called a bear.,and we can have a big lunch with lots of different things.,we can't have a cat.,I don't know why she did that.,oh there's a kitten sleeping in the carrier.,no you're not.,yeah.,you're so cute.,wow.,and then the baby bird came out.,that's a pony.,what's that.,oh no.,where's the car?,did mommy say we can't have any more pizza tonight.,that's a car.,what are these.,oh no.,what is the red car.,and I think they're the best.
here's the other one.,there's the car.,you wanna see a spoon.,what's this?,what is that.,that's not a car.,that's a little duck.,and this is a car.,this is.,yeah he's a good boy.,there's a cat in the bed.,look at this.,she's got the tail.,and I'm gonna put some honey on that.,the little lady's going to the bathroom.,you're going to get some crackers.,and there's a cat.,the ducks.,you know what I think.,and the kangaroo.,wow.,oh you have a car.,you need to say good night to the baby.,is that a car.,well we have got lots of stuff.,and then she goes to sleep and wakes up and goes to sleep and wakes up and goes to sleep and wakes up.,wanna drive the car.,wow.
yeah.,where's the car.,here's some yogurt.,that's a cute cat.,oh.,can you put the car on the floor.,that's a snake.,put it on.,who's the girl who's playing with the ball.,yeah you're right.,oh it's a cat.,and the duckie.,oh.,no.,can you see that.,whoops.,and the cat.,it's a duck.,there.,he was a bad wolf.,yeah.,yeah.,and I'm very grateful.,you have a car.,yes.,they're cats.,no.,right.
that's a car.,oh car.,look at this.,it's a kitty cat.,no no.,you gotta get back in your car.,the animals that live in the water.,you wanna put your head on the car seat.,okay.,who is that?,oh you gotta give him a bath.,are you happy.,oh.,honey.,we'll have some juice.,no.,that's right.,that's a dove.,and we're going to try to make it all come together.,and then the lions go.,that's a really big dog.,he's a blue truck.,I think she's gonna get a little hairy when she grows up.,that's a car.,you're gonna sit down.,oh my.,and the truck's wheels.,she's a monkey.
I'm going to put them in the box.,wanna go to the car.,and it's a good thing.,we can say cat.,I see it.,see.,you wanna play with the bear.,I can't find any.,wow.,it's not that good.,it's a girl.,you're gonna put them back.,the cat says the cat says moo.,no you have a piece of bread.,do you want a bite.,yes you're eating the whole piece of pizza.,so.,oh it's not a song bird.,and the big black horse and the little black horse.,and there's a giraffe there.,what does your dog say.,go.,right.,what are we gonna do today.,do you want me to bring you some more.,you see there's a cat on the couch.,you wanna sit in the front seat.,that's right.
