3 Months,6 Months,9 Months,12 Months,15 Months,18 Months,21 Months,24 Months,27 Months,30 Months,33 Months,36 Months,39 Months,42 Months,45 Months,48 Months,51 Months,54 Months,57 Months,60 Months,63 Months,66 Months,69 Months,72 Months,75 Months,78 Months,81 Months,84 Months
peas.,there's an apple.,I don't know.,bird.,oh they're all done.,mashed potatoes.,oh what's that.,oh.,oh.,yeah.,there's a bus on the left.,wanna talk to the dog.,I'll have to call the animal rescue people.,oh what's that.,oh my goodness.,what kind of cat.,a cat.,how about that.,I'm not going to do that.,you know what.,I'm sorry I'm not here right now.,what's this.,oh yeah you're a big kitty.,you're not supposed to touch it.,you have a baby bird.,a caterpillar crawling.,the bird is on the tree.,oh my gosh.
no no you're not eating.,oh it's the milk.,oh.,bird.,do you wanna play with the blocks.,honey.,okay.,and what's this one.,no no.,let's see if we can get a ride.,you go fast.,a dog.,what's this.,it's a little bit wiggly.,yeah.,it's a cat.,they are gonna have a nice nap.,and then we'll make your house.,that's right.,the boy.,it's a car.,there's a dog.,wanna go over here.,I'm not sure.,the bird's called a parakeet.,it's very important that they don't eat the bones.,oh that's not right.,he's gonna be a good duck.
hey.,good girl.,he's gonna go down the stairs.,and the duck.,what's that.,that's the ketchup.,it's a house.,they are on the back of the car.,yeah the house.,what is this.,and the car.,oh that's a nice dog.,and I'll give them some food too.,you're a dog.,how does the house move.,this is a cat.,come here.,she went to the movies.,we're gonna build a house.,so we're gonna go to the park today and then go to see the big movie.,yeah.,that's right.,oh they're both kittens.,that's your toy.,you're a good boy.,I'll tell you what I'll tell them.,oh what's that.,and they have lots of teeth.
can you pass me the spoon.,uh.,no.,the bird has wings and it's so pretty.,it's a bear.,they gotta keep it in the fridge.,here's the front door.,it has a roof.,come in.,do you want to put the baby in the car.,oh my goodness.,where's the dog.,you can make some.,look at that.,that's not right.,and they're very fluffy.,wow.,oh they're having a birthday party for you.,what's that.,where did you get your shoes from.,I don't see any cars.,no.,yeah.,I'm going to put them away.,a bird.,no.,it's a little bird.,the cow goes moo.
that's right.,yeah.,and I'm the little baby.,look at the birds.,you gotta put them all away.,can you open it.,you're so good.,and a car and then a bus and a truck and then a train and a ship.,I'm gonna take some more pictures.,car.,you wanna go to the car.,it's a puppy.,oh here's a good book.,well.,he's not going to have a house when he's older.,okay honey.,wanna give it a scratch.,she was a teacher's assistant and I was a teacher and I used to teach in this school.,I'm going to be cleaning my house.,I guess they're not going to work out.,let's go to the car.,you want to put the ball in the kennel.,you can't say that.,they don't look very much like chickens.,oh that's a pigeon.,oh it's a little tiny mouse.,I see the bird on the branch.,and the elephants.
you eat it.,what's that.,what's this.,yeah it's a little birdie.,look at those.,oh.,let's go.,wanna take a look at the car.,and it's a very nice room.,what's that.,wanna take your car to the store.,right.,I don't have one.,we'll go play with them.,there.,cats eat mice.,oh the cat's all over her face.,it's called a stapler.,yeah it's your room.,and you'll see that dad and mommy are doing their part.,do you know what it's called.,there are dogs.,it's called a kitten.,you have another one.,and there's another one over there.,we're gonna be going out and get some ice cream.,a bird.,that's a rabbit.
mama's cooking.,okay.,I'm making a family portrait.,little birdie.,I guess you're gonna play with them all day.,you gotta get out of here.,you wanna go.,and the steering wheel.,go get my coat.,it's a car.,okay.,what kind of a dog.,what's the name of this little animal.,he is a good boy.,where's the stairs to the bedroom.,that's a kitty.,oh that's a cat.,I don't think she's ready for a bicycle.,can we go inside.,it's a good idea to have a big family.,I don't know what this is.,what's that.,do you want to go out and play with her.,here you go.,that's a dove.,you want to take your stuffed bunny with you.,there's a bird there.,you like cows.
you got some.,you want to eat this.,yeah.,what's that.,yeah.,yes that's right.,what's that.,I have a car.,okay.,yeah you gotta put it in the seat first and then you can put the people in there.,"okay, how's that working.",yeah that's a doggie.,and I think she might be a pig.,it's a black dog.,it's on the top of the stairs.,so here's a big cake and here's a little cake.,they both have a long nose.,you can make some and you can share them.,do you think this is a good place for a house.,it's a good idea.,do you see that car.,what kind of dog is this.,the cats are all sitting on the chairs.,this is for the baby.,what's that?,is that a bunny.,he says.,no you put it in your mouth and then it goes up your nose and then you get a cough.
mmmm.,that's a nice picture.,you're gonna have to keep your eyes peeled for that one.,that's a bird.,yes you can.,mashed potatoes.,that's the door.,yeah.,you want a new house.,a car.,oh.,yeah I think so.,it's not a puppy.,okay you're a little bit bossy.,the house is falling down.,you could go to the pet store and get some cat food for your cat.,do you want to look at it for a little while.,you know what? you're right.,and then you're gonna go downstairs.,well we have three people in our family.,and a truck.,do you have a dog.,it's a cat.,okay.,yeah.,you can see it eat the grass.,it's a pigeon.,right.
no we can't eat that.,yeah.,yeah you're the one who's gonna get it.,bird.,this is a teddy bear.,and we're going to have a cupcake.,okay.,you're gonna have to wait a little bit longer.,okay.,can you say car.,hey.,okay.,no.,oh a dog.,what is this.,what's that.,yeah he's not playing with the ball.,oh that's a nice one.,yeah.,okay.,it's a truck.,you're going to get some cookies.,they're so cute.,no.,the bird is a hawk.,oh.,there's a bird there.,you see he's a little turtle.
mhm.,hm.,let's see.,bird.,go to the train set.,that's a cupcake.,the floor.,you want to go inside and play with it.,the door opens.,oh that's cool.,what's that.,look at that cute dog.,where are you going.,it's called a chihuahua.,who is that man?,see this.,they're cats.,I think she's your sister.,yeah you know it's a little different.,yeah.,they're in the garage.,yeah.,that's right.,the ball.,you're a bird.,we're going to have a tea party with our rabbits and hamsters.,it's a little bit cold and wet and the little birds don't like it either.,you think the lion's name is lion.
you want a bite.,okay.,do you want a cookie.,oh it's a bird.,okay.,you're gonna eat it.,we're going to go to the bathroom.,you can't drive the car.,okay you want to play with that.,he's in the car.,okay let's go back to the car and make it look nice.,look at the dog.,there are some animals here.,right.,"I'm gonna get you a little shoe, and then we'll go get some ice cream.",and the cats and the dogs all come out.,what's that.,there.,I'm gonna show you a photo of our house.,yeah he's getting a lot of toys.,you think the car's gonna be okay.,can you say doggie.,there's a cat in there.,okay.,we're going to get some birdseed.,that's not an animal.,we're gonna go and look for some birds.,we're going to make them a nice house.
okay.,good girl.,here's another.,what's that.,oh.,what's that.,oh.,he's gonna give us a ride on the train.,and then we go in.,and what else.,that's a truck.,you're a dog.,it's the same thing we just said.,yeah he's a little dog.,you're not going to say it.,we're going to the park today.,that's a kitty.,it's like this.,okay.,oh.,and then you turn it off.,oh the dog.,what's that.,oh.,a. bird.,we'll go to the zoo.,uh.,"that's a big, red tomato."
that's right.,yeah.,yeah.,a bird.,I don't see a ball.,it's gonna be really fun.,okay.,go bye.,come on.,do you want to put it back on.,see the car.,well he has a little black collar on his neck.,wow.,oh.,oh.,oh he's a cat.,okay.,and then it's a really good day.,you're very right.,yeah I'll tell you.,oh car.,he's sleeping in his doghouse.,and it goes in the water.,you can make a little house.,he was a robin.,this one's a giraffe.,there's one there.,the dog.
look at these.,he's a good boy.,where did we go to.,oh my gosh.,can you show me how to play with this.,here's some water.,oh that's your house.,no.,let's look at the picture.,that's a car.,well look what we've got.,the dog's name is Max.,it's so good.,do you like the dog.,do you remember the house.,no.,where is the cat.,I think that's his sister.,we got a nice house.,you can do that.,a car.,where's the dog.,he's sleeping.,and then you play with them.,this one's a turkey.,the kitten is gonna play with the ball of yarn.,look at that bird.,you want the rabbit.
wanna eat something.,yogurt.,oh look at that.,yeah he's a duck.,they're.,and put that in there.,let's go inside.,you wanna see the back of the car.,the kitchen.,do you see a car.,and go over the bridge.,okay.,you wanna play with that.,you're such a good baby.,so we're gonna go up to the attic and we're gonna see what we can find in there.,look at the cat's whiskers.,come here.,okay I'm gonna put it back and we'll go find Daddy.,you're right.,okay what's your brother's name.,and this is the back of the car.,you know he's the one that he's going to take the picture with.,can you put the cat on your hand.,okay.,I don't know what that is.,what's that one.,the baby bird is learning how to fly.,so we've got an octopus.
yeah.,what's that.,and then they sit on a stool and look at each other.,yeah.,yes.,what are you eating.,can we get the bouncy ball.,yeah that's a car.,you need a new one.,you're going to need a new battery.,you get in and we're gonna go.,oh you're right.,they're not there.,I'm not sure.,look at the lights.,that's a cat.,oh oh.,okay now let's see.,he's gonna be in a big house with a lot of space.,oh.,I'm gonna get you a car.,it's a puppy.,the cat is sleeping.,okay.,no you don't need it.,right.,bird.,I think it's a cat.
I'm not going to say.,mmmmm.,oh my gosh.,what's that.,that's my car.,well you could make it a little smaller and put some in it.,the bedroom.,that's a car.,oh I see the stairs.,oh you want me to take off the carpet.,they're a little different.,he's a big yellow dog.,do you like animals.,he has a bumpy head.,you can't have that house.,here's a nice kitty.,see it's a little fur ball.,so you have a sister.,what's it called.,you know I really like you.,that's right.,this is a dog.,oh yeah that's a cat.,you like that truck.,the baby bird's nest.,it's a little bit of a turtle.,what's that.,oh those two are nice and nice.
well that's good.,"no, no.",yes he was.,look at the bird.,look at the cow.,it's your turn to feed the kittens.,and a big yellow house.,we're going to get on the car.,what's the big one.,oh.,I'll just go to the garage and get it.,where's that.,do you know what that is.,what's his name.,who's that.,we'll see.,and then I'll get it cleaned up.,oh yeah.,hey.,can we get you a book to read.,that's a very good car.,what are you gonna do.,oh that's right.,you like playing with the blocks.,they're all flying.,and you're playing with the doll.,oh the bird.,I see a chick.
it's a little bit of water.,what is this.,what's that.,hey.,ball.,wow.,let's go outside.,you wanna go for a drive in this car.,it's the big one.,and it's a car.,can you say car.,wanna see what's in here.,there's a cat in the house.,he's got a big pink nose and he has a blue collar.,it's like a tiny house.,you're right.,well we're gonna give her a bath.,she's my cousin.,no.,okay.,let's go outside and sit in the car.,there's a dog in this room.,you got a kitty.,it's a little bit of a mess.,yeah birds are really big.,we'll call that a.,there are birds in the trees.,there's another one.
there's a bird outside.,bird.,I'll put them in your box.,there's a bird.,a bird.,that's right.,that's a squirrel.,oh yeah.,who's that person.,wow.,I think I'm going to put the puzzle in my purse.,yeah.,the couch is a piece of furniture.,you're gonna see them later.,the kitten is napping.,yeah you can put that in there.,we're not going to be eating that.,no no no no.,I'm gonna put it back in the box.,you wanna go get a car.,and I think the cat is very old.,a pink and blue train.,you gonna play with them.,oh they're out of the way.,can you get the cheese.,okay you can give it to me.,and it's a cat.,no no.
there's a bird.,here's a bird.,here's a little car.,that's a bird.,yeah.,there's a doll.,we'll have a couple more minutes with the cows.,yes.,oh my goodness.,I'm sorry I can't make it.,okay.,come on.,we're going to get some more furniture to make this room bigger.,yeah you know.,it's a cat.,right.,well that's interesting.,a kitty cat.,where did the ball go.,what's that.,oh no.,I mean it.,hmm.,yeah.,the peas are kind of mushy.,oh it's so good.,that's a cat.,I think you want to see what's in it.
oh look.,there's a bird.,there's a little toy.,you wanna see a bird.,I love birds.,put them in.,okay.,that's my son.,you can sit on the carpet and we can look at your pictures.,what's this one called.,and you can make up your own stories about it.,you know what.,we're gonna have to wait until tomorrow.,that's right.,and he said okay.,they're so adorable.,here's some apple juice.,and the kitty goes and the kitty goes.,it's a doll.,okay.,yeah.,do you want to play with some blocks.,so you're gonna get all the pieces.,what's that.,there's a picture of a potato on that.,it's a fuzzy ball.,that's a cat.,we'll have some.
you see a bird on a branch.,bird.,okay.,there's a bird.,this is a bird.,look at the ducks.,that's a big lion.,can you see the car.,so you can play with a toy that's not gonna fall down.,what's that.,what's that.,you'll have to take him to the vet.,you have to wash your hands before you go to bed.,and then we go to the candy store.,do you think cats are cute.,where are the fish.,they're pizza.,there's a kitten that's been out and about and she's not sleeping at all.,he's sitting in the chair with the ball.,car.,cats go in trees.,yeah.,you'll love these.,can you turn on the light?,what's that.,the two little birds.,huh.,well it's not a cup.
